Archivo,Lengua,Codigo,Tamano,Paginas,Lineas,Palabras,Cita,Referencia
Carol_2014_EsbozoFonologico.pdf,chorote,C2014a,1.6,31.0,2.3k,13.2k,"Carol, 2014a","Carol, (2014). Esbozo fonológico del chorote (mataguayo). LIAMES, 14, 73-103"
Carol_Tesis_2014.pdf,chorote,C2014b,3.9,469.0,29k,154k,"Carol, 2014b",Lengua chorote (Mataguayo). Estudio descriptivo. Munich: Lincom.
DraysonDiccionarioChoroteCastellano.pdf,chorote,D1999,5.7,271.0,5.2k,90.4k,"Drayson, 2009","Drayson, Nicholas. (2009). Niwak Samtis. Diccionario Iyojwa'ja'Lij- Kilay'Lij (Chorote- castellano). Hacia una nueva carta étnica del Gran Chaco VIII: 91-174. Las Lomitas: Centro de Hombre Antiguo Chaqueño (CHACO)."
Gerzenstein_1978-tomo1.pdf,chorote,G1978,1.4,75.0,73.4k,78k,"Gerzenstein, 1978","Gerzenstein, Ana. (1978) Lengua chorote. Tomo 1. Buenos Aires:Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires"
Gerzenstein_1979-tomo2.pdf,chorote,G1979,3.3,42.0,21.7k,21.4k,"Gerzenstein, 1979","Gerzenstein, Ana. (1979) Lengua chorote. Tomo 2. Buenos Aires:Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires"
Gerzenstein_1983_LenguaChoroteVariedad2_1.pdf,chorote,G1983,4.1,49.0,25.1k,27.1k,"Gerzenstein, 1983","Gerzenstein, Ana (1983). Lengua Chorote. Variedad nº 2. Estudio descriptivo - Comparativo y vocabulario. Buenos Aires: Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires"
Gerzenstein_1983_LenguaChoroteVariedad2_2.pdf,chorote,G1983,4.7,65.0,17k,16.3k,"Gerzenstein, 1983","Gerzenstein, Ana (1983). Lengua Chorote. Variedad nº 2. Estudio descriptivo - Comparativo y vocabulario. Buenos Aires: Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires"
,"chorote, nivaclé, wichí",N1984,,55.0,,,"Najlis, 1984","Fonología de la protolengua mataguaya. (Cuadernos de lingüística indígena, 9.) Buenos Aires: Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires"
Gerzenstein_1994_Maka.pdf,maka,G1994,23.0,123.0,13k,35.5k,"Gerzenstein, 1994","Gerzenstein, Ana. (1994). Lengua Maká:  estudio descriptivo. Buenos Aires:  Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires."
Gerzenstein_1999_DiccionarioMaka.pdf,maka,G1999,22.0,293.0,39.9k,116k,"Gerzenstein, 1999","Gerzenstein, Ana. (1999). Diccionario etnolinguístico maká-español (DELME). Buenos Aires:  Instituto de Lingüística, Facultad de Filosofía y Letras, Universidad de Buenos Aires."
Tacconi_2015_Tesis.pdf,maka,T2015,5.9,288.0,11.9k,58.7k,"Tacconi, 2015","Tacconi, Temis Lucía. (2015). ""Formación de palabras en maká (mataguayo)"". Tesis doctoral. Buenos Aires:   Facultad de Filosofía y Letras, Universidad de Buenos Aires."
Fabre-DiccionarioNivacle.pdf,nivacle,F2014,8.4,875.0,44.2k,571.6k,"Fabre, 2014","Fabre, Alain. (2014). Léxico nivacle. Kangasala (ms.)"
Hunt-Chunupi_vocabulary-ocr.pdf,nivacle,,52.0,219.0,17.2k,35.5k,,
Isaak-Nivacle_SprachHeft.pdf,nivacle,,29.0,44.0,,,,
Seelwische-nivacle-2016.pdf,nivacle,S1996,2.4,280.0,30.3k,109.8k,"Seelwische, 2016",Nuevo Diccionario Nivaĉle-Castellano. Tercera edición mejorada a cargo de Félix Ramírez Flores et al. Asunción: CEADUC.
Campbell_Chulupi_ir.pdf,nivacle,C&G2007,0.2,31.0,2.2k,10k,"Campbell y Grondona, 2007","Campbell & Grondona. (2007). Internal reconstruction in Chulupí (Nivaklé). Diachronica, 24(1), 1-29."
ubc_2015_september_gutierrez_analia.pdf,nivacle,Gu2015,22.1,369.0,20.7k,89k,"Gutiérrez, 2015","Gutiérrez, Analía (2015). Segmental and prosodic complexity in Nivaĉle : laryngeals, laterals, and metathesis. Tesis doctoral.Vancouver:  University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0166445"
Claesson1994.pdf,wichi,Cl1994,5.9,39.0,2k,14.7k,"Claesson, 1994","Claesson, Kenneth (1994). A phonological outline of mataco-noctenes. International Journal of American Linguistics, 60(1), 1-38."
Vocabulario_weenhayek.pdf,wichi,Cl2016,3.6,561.0,23.6k,187.7k,"Claesson, 2016","Claesson, Kenneth. (2016) Notas sobre el vocabulario ""weenhayek""."
Nercesian-2014-Wichi_Lhomtes.pdf,wichi,Ne2014,18.0,526.0,31k,169.2k,"Nercesian, 2014",Wichi lhomtes. Estudio de la gramática y la interacción fonología-morfología-sintaxis-semántica. Munich: Lincom.
